ingredient,function,category,sensitive_score,oily_score,dry_score,combination_score,normal_score,risk_level,benefits,concerns,sensitive_risk,oily_risk,dry_risk,combination_risk,normal_risk
Glycerin,Humectant,Humectant,10,8,10,9,9,Low,Hydration|Moisture Retention|Barrier Repair,None,Low,Low,Low,Low,Low
Hyaluronic Acid,Humectant,Humectant,10,9,10,10,10,Low,Hydration|Moisture Retention|Skin Recovery,None,Low,Low,Low,Low,Low
Sodium Hyaluronate,Humectant,Humectant,10,9,10,10,10,Low,Hydration|Moisture Retention,None,Low,Low,Low,Low,Low
Sodium PCA,Humectant,Humectant,9,8,10,9,9,Low,Hydration|Moisture Retention,None,Low,Low,Low,Low,Low
Urea,Humectant,Humectant,6,7,10,8,8,Low,Hydration|Exfoliation|Barrier Repair,Irritation Risk,Moderate,Low,Low,Low,Low
Betaine,Humectant,Humectant,10,8,9,9,9,Low,Hydration|Soothing,None,Low,Low,Low,Low,Low
Panthenol,Soothing,Soothing Agent,10,8,10,9,9,Low,Soothing|Hydration|Skin Recovery|Barrier Repair,None,Low,Low,Low,Low,Low
Allantoin,Soothing,Soothing Agent,10,8,9,9,9,Low,Soothing|Skin Recovery|Redness Reduction,None,Low,Low,Low,Low,Low
Beta Glucan,Soothing,Soothing Agent,10,8,10,9,9,Low,Soothing|Anti-Inflammatory|Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Madecassoside,Soothing,Soothing Agent,10,8,9,9,9,Low,Soothing|Anti-Inflammatory|Skin Recovery|Redness Reduction,None,Low,Low,Low,Low,Low
Asiaticoside,Soothing,Soothing Agent,9,7,9,8,9,Low,Soothing|Anti-Inflammatory|Skin Recovery,None,Low,Low,Low,Low,Low
Bisabolol,Soothing,Soothing Agent,10,7,9,8,9,Low,Soothing|Anti-Inflammatory|Redness Reduction,None,Low,Low,Low,Low,Low
Ceramide NP,Barrier Repair,Ceramide,10,8,10,9,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Ceramide AP,Barrier Repair,Ceramide,10,8,10,9,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Ceramide EOP,Barrier Repair,Ceramide,10,8,10,9,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Ceramide NS,Barrier Repair,Ceramide,10,7,10,9,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Ceramide AS,Barrier Repair,Ceramide,10,7,10,9,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Phytosphingosine,Barrier Repair,Ceramide,9,8,9,9,9,Low,Barrier Repair|Anti-Inflammatory,None,Low,Low,Low,Low,Low
Sphingolipids,Barrier Repair,Ceramide,9,7,9,8,9,Low,Barrier Repair|Hydration,None,Low,Low,Low,Low,Low
Squalane,Emollient,Emollient,10,7,10,8,9,Low,Hydration|Barrier Repair|Antioxidant,None,Low,Low,Low,Low,Low
Caprylic/Capric Triglyceride,Emollient,Emollient,9,7,9,8,9,Low,Hydration|Barrier Repair,None,Low,Low,Low,Low,Low
Jojoba Oil,Emollient,Emollient,8,8,9,8,9,Low,Hydration|Oil Control|Barrier Repair,None,Low,Low,Low,Low,Low
Rosehip Oil,Emollient,Emollient,7,6,9,7,8,Low,Anti-Aging|Brightening|Hydration,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Argan Oil,Emollient,Emollient,8,7,9,8,9,Low,Hydration|Antioxidant|Barrier Repair,None,Low,Low,Low,Low,Low
Marula Oil,Emollient,Emollient,8,6,9,7,8,Low,Hydration|Antioxidant,None,Low,Moderate,Low,Low,Low
Sea Buckthorn Oil,Emollient,Emollient,7,5,9,6,8,Moderate,Hydration|Antioxidant|Brightening,Sensitivity Trigger,Moderate,Moderate,Low,Low,Low
Bakuchiol,Anti-Aging,Emollient,8,8,8,8,9,Low,Anti-Aging|Antioxidant|Brightening,None,Low,Low,Low,Low,Low
Hemp Seed Oil,Emollient,Emollient,8,8,9,8,9,Low,Hydration|Anti-Inflammatory|Oil Control,None,Low,Low,Low,Low,Low
Meadowfoam Seed Oil,Emollient,Emollient,9,7,9,8,9,Low,Hydration|Barrier Repair|Moisture Retention,None,Low,Low,Low,Low,Low
Dimethicone,Occlusive,Occlusive,9,6,9,7,8,Low,Barrier Repair|Moisture Retention|Soothing,None,Low,Low,Low,Low,Low
Petrolatum,Occlusive,Occlusive,9,3,10,5,7,Low,Barrier Repair|Moisture Retention|Skin Recovery,Comedogenic Risk,Low,High,Low,Moderate,Low
Mineral Oil,Occlusive,Occlusive,8,3,9,5,7,Low,Barrier Repair|Moisture Retention,Comedogenic Risk,Low,High,Low,Moderate,Low
Cyclomethicone,Occlusive,Occlusive,8,7,7,7,8,Low,Barrier Repair|Moisture Retention,None,Low,Low,Low,Low,Low
Beeswax,Occlusive,Occlusive,7,4,8,6,7,Low,Barrier Repair|Moisture Retention,Comedogenic Risk,Low,High,Low,Moderate,Low
Shea Butter,Emollient,Emollient,8,5,10,6,8,Low,Hydration|Barrier Repair|Soothing,Comedogenic Risk,Low,High,Low,Moderate,Low
Cocoa Butter,Emollient,Emollient,6,4,9,5,7,Low,Hydration|Barrier Repair,Comedogenic Risk,Low,High,Low,High,Low
Mango Butter,Emollient,Emollient,8,5,9,6,8,Low,Hydration|Barrier Repair,Comedogenic Risk,Low,Moderate,Low,Moderate,Low
Aloe Vera,Soothing,Botanical Extract,10,9,8,9,9,Low,Soothing|Hydration|Anti-Inflammatory|Redness Reduction,None,Low,Low,Low,Low,Low
Centella Asiatica Extract,Soothing,Botanical Extract,10,8,9,9,9,Low,Soothing|Anti-Inflammatory|Skin Recovery|Barrier Repair,None,Low,Low,Low,Low,Low
Green Tea Extract,Antioxidant,Botanical Extract,9,9,8,9,9,Low,Antioxidant|Anti-Inflammatory|Oil Control,None,Low,Low,Low,Low,Low
Licorice Root Extract,Brightening,Botanical Extract,8,8,8,8,9,Low,Brightening|Pigmentation Reduction|Anti-Inflammatory,None,Low,Low,Low,Low,Low
Chamomile Extract,Soothing,Botanical Extract,10,7,9,8,9,Low,Soothing|Anti-Inflammatory|Redness Reduction,None,Low,Low,Low,Low,Low
Oat Extract,Soothing,Botanical Extract,10,7,9,9,9,Low,Soothing|Anti-Inflammatory|Barrier Repair,None,Low,Low,Low,Low,Low
Calendula Extract,Soothing,Botanical Extract,9,7,9,8,9,Low,Soothing|Anti-Inflammatory|Skin Recovery,None,Low,Low,Low,Low,Low
Sea Kelp Extract,Humectant,Botanical Extract,9,8,9,9,9,Low,Hydration|Antioxidant|Barrier Repair,None,Low,Low,Low,Low,Low
Mushroom Extract,Antioxidant,Botanical Extract,9,8,9,9,9,Low,Antioxidant|Brightening|Hydration,None,Low,Low,Low,Low,Low
White Willow Bark Extract,Exfoliant,Botanical Extract,4,8,5,7,7,Moderate,Exfoliation|Acne Support|Oil Control,Irritation Risk|Sensitivity Trigger,High,Low,High,Moderate,Low
Turmeric Extract,Anti-Inflammatory,Botanical Extract,7,8,7,8,8,Low,Anti-Inflammatory|Brightening|Antioxidant,Sensitivity Trigger,Moderate,Low,Low,Low,Low
Pomegranate Extract,Antioxidant,Botanical Extract,8,8,8,8,9,Low,Antioxidant|Anti-Aging|Brightening,None,Low,Low,Low,Low,Low
Rosemary Extract,Antioxidant,Botanical Extract,6,7,7,7,8,Moderate,Antioxidant|Oil Control,Sensitivity Trigger|Irritation Risk,High,Low,Moderate,Low,Low
Niacinamide,Brightening,Active,8,10,8,9,9,Low,Brightening|Oil Control|Barrier Repair|Pore Care|Anti-Aging|Pigmentation Reduction,None,Low,Low,Low,Low,Low
Retinol,Cell Turnover,Active,4,8,6,7,7,Moderate,Anti-Aging|Skin Recovery|Brightening,Irritation Risk|Dryness Risk|Photosensitivity,High,Moderate,High,Moderate,Moderate
Retinal,Cell Turnover,Active,3,8,5,6,7,Moderate,Anti-Aging|Skin Recovery|Brightening,Irritation Risk|Dryness Risk|Photosensitivity,High,Moderate,High,Moderate,Moderate
Retinaldehyde,Cell Turnover,Active,3,8,5,6,7,Moderate,Anti-Aging|Skin Recovery|Brightening,Irritation Risk|Dryness Risk|Photosensitivity,High,Moderate,High,Moderate,Moderate
Tretinoin,Cell Turnover,Active,2,9,4,6,7,High,Anti-Aging|Acne Support|Skin Recovery,Irritation Risk|Dryness Risk|Photosensitivity,High,Moderate,High,High,High
Retinyl Palmitate,Cell Turnover,Active,6,7,7,7,8,Low,Anti-Aging|Antioxidant,Photosensitivity,Low,Low,Low,Low,Low
Vitamin C (L-Ascorbic Acid),Brightening,Active,4,8,7,7,8,Moderate,Brightening|Antioxidant|Anti-Aging|Pigmentation Reduction,Irritation Risk|Sensitivity Trigger,High,Low,Moderate,Low,Low
Ascorbyl Glucoside,Brightening,Active,7,8,8,8,9,Low,Brightening|Antioxidant|Pigmentation Reduction,None,Low,Low,Low,Low,Low
Sodium Ascorbyl Phosphate,Brightening,Active,8,9,8,9,9,Low,Brightening|Antioxidant|Acne Support,None,Low,Low,Low,Low,Low
Ascorbyl Tetraisopalmitate,Brightening,Active,7,8,8,8,8,Low,Brightening|Antioxidant|Anti-Aging,None,Low,Low,Low,Low,Low
Ethyl Ascorbic Acid,Brightening,Active,7,8,8,8,8,Low,Brightening|Antioxidant|Pigmentation Reduction,None,Low,Low,Low,Low,Low
Azelaic Acid,Multi-Functional,Active,7,9,7,8,8,Low,Acne Support|Brightening|Redness Reduction|Pigmentation Reduction,Irritation Risk,Moderate,Low,Moderate,Low,Low
Salicylic Acid,Exfoliant,Active,3,10,4,7,7,Moderate,Exfoliation|Acne Support|Oil Control|Pore Care,Irritation Risk|Dryness Risk,High,Low,High,Moderate,Low
Alpha Arbutin,Brightening,Active,9,8,8,9,9,Low,Brightening|Pigmentation Reduction,None,Low,Low,Low,Low,Low
Kojic Acid,Brightening,Active,4,7,6,6,7,Moderate,Brightening|Pigmentation Reduction,Irritation Risk|Sensitivity Trigger,High,Moderate,High,Moderate,Moderate
Tranexamic Acid,Brightening,Active,8,8,8,8,9,Low,Brightening|Pigmentation Reduction|Redness Reduction,None,Low,Low,Low,Low,Low
Benzoyl Peroxide,Antibacterial,Active,2,8,3,6,6,Moderate,Acne Support,Irritation Risk|Dryness Risk|Sensitivity Trigger,High,Moderate,High,Moderate,Moderate
Mandelic Acid,Exfoliant,Exfoliant,6,9,6,8,8,Low,Exfoliation|Brightening|Acne Support,Irritation Risk|Photosensitivity,Moderate,Low,Moderate,Low,Low
Glycolic Acid,Exfoliant,Exfoliant,2,9,6,7,7,Moderate,Exfoliation|Anti-Aging|Brightening,Irritation Risk|Dryness Risk|Photosensitivity,High,Low,High,Moderate,Moderate
Lactic Acid,Exfoliant,Exfoliant,5,8,8,8,8,Low,Exfoliation|Hydration|Brightening,Irritation Risk|Photosensitivity,Moderate,Low,Moderate,Low,Low
Malic Acid,Exfoliant,Exfoliant,5,8,7,8,8,Low,Exfoliation|Brightening,Irritation Risk|Photosensitivity,Moderate,Low,Moderate,Low,Low
Tartaric Acid,Exfoliant,Exfoliant,5,8,7,8,8,Low,Exfoliation|Brightening|Antioxidant,Irritation Risk|Photosensitivity,Moderate,Low,Moderate,Low,Low
